t	U	P	msd	sigmaxy	f2tdu2
0.01	0.00180165	0.302569	0.00442525	0.000304836	-0.132514
0.02	0.00202509	0.302576	0.00784936	-0.0029123	-0.149158
0.03	0.00228479	0.302585	0.0113244	-0.00635102	-0.168445
0.04	0.0025582	0.302593	0.0161012	0.00494407	-0.18872
0.05	0.00280195	0.302601	0.0184265	0.00954891	-0.206466
0.06	0.00296142	0.302606	0.0220345	0.000797901	-0.218586
0.07	0.00384904	0.302633	0.0271912	0.0316767	-0.283419
0.08	0.00434769	0.302648	0.0310804	0.0202888	-0.319213
0.09	0.00519187	0.302672	0.0330978	0.0930447	-0.375125
0.1	0.00540723	0.302678	0.0369997	0.130808	-0.388895
0.11	0.00671569	0.302714	0.0414236	0.0513397	-0.464635
0.12	0.0076349	0.302738	0.0437337	0.12631	-0.509488
0.13	0.00681108	0.302719	0.0451276	-0.133097	-0.482113
0.14	0.00745732	0.302738	0.0479924	0.0101849	-0.531168
0.15	0.00757739	0.302743	0.049968	-0.0935715	-0.541997
0.16	0.00971981	0.302799	0.0528358	-0.0317783	-0.668021
0.17	0.0103178	0.302816	0.056514	-0.0661393	-0.708331
0.18	0.0104201	0.302819	0.0560044	-0.264008	-0.712843
0.19	0.0128196	0.302883	0.0624582	-0.263551	-0.846996
0.2	0.0126328	0.30288	0.0645824	-0.188	-0.846994
0.21	0.0124994	0.302878	0.0693544	-0.0239663	-0.849147
0.22	0.0136377	0.302904	0.0740398	0.194839	-0.859652
0.23	0.0119668	0.302864	0.0747473	0.182845	-0.813978
0.24	0.012176	0.30287	0.0796818	0.309276	-0.824447
0.25	0.0115581	0.302855	0.0823738	0.192193	-0.807816
0.26	0.011109	0.302842	0.084344	0.274055	-0.78244
0.27	0.013156	0.302896	0.0889624	0.187277	-0.894015
0.28	0.0167673	0.302985	0.0921383	0.307708	-1.00504
0.29	0.0171998	0.302995	0.0937649	-0.0324033	-0.997063
0.3	0.0189897	0.303035	0.0931422	0.0263491	-0.964673
0.31	0.0243108	0.303164	0.0989715	0.183393	-0.943907
0.32	0.0279972	0.303257	0.104601	0.361299	-1.14129
0.33	0.0421225	0.303575	0.111501	0.548072	-0.0936156
0.34	0.0420027	0.303585	0.114442	0.371402	-0.771696
0.35	0.0357971	0.30345	0.11654	-0.0800791	-1.16831
0.36	0.0405721	0.303534	0.119665	1.99051	1.41031
0.37	0.0513946	0.303784	0.129342	1.53577	2.24557
0.38	0.0552784	0.303877	0.134379	1.41411	1.89408
0.39	0.0640802	0.304071	0.135331	0.751915	2.63767
0.4	0.0664795	0.304097	0.141697	2.81564	4.82637
0.41	0.0435036	0.303628	0.140778	1.16834	-0.872547
0.42	0.0409359	0.303576	0.144546	-0.494378	-1.14579
0.43	0.0416517	0.303592	0.147997	-0.457394	-0.990292
0.44	0.0484065	0.303747	0.154051	0.464195	-0.569566
0.45	0.0523743	0.303853	0.162312	1.40308	-1.12671
0.46	0.0516397	0.303839	0.159425	-0.111777	-1.36347
0.47	0.0533526	0.303872	0.162433	-0.811669	-1.06027
0.48	0.0644866	0.304111	0.168486	1.00699	1.27874
0.49	0.0566944	0.303957	0.169197	-1.21221	-1.07781
0.5	0.0676087	0.304158	0.174255	-4.96457	3.79152
0.51	0.0826018	0.304493	0.182947	-3.29897	4.69605
0.52	0.0952492	0.304731	0.184374	-4.05955	11.7765
0.53	0.0792059	0.304423	0.185036	-1.3878	4.16636
0.54	0.0904435	0.304663	0.184496	-1.26331	5.49512
0.55	0.0832075	0.304516	0.185587	-0.345312	3.13994
0.56	0.0947335	0.304761	0.190326	0.915374	6.29496
0.57	0.0940593	0.30471	0.193706	3.11749	9.93098
0.58	0.0712234	0.304251	0.201329	1.81254	3.63776
0.59	0.064139	0.304102	0.19439	3.39021	1.56869
0.6	0.0657563	0.30414	0.201141	4.44184	1.48263
0.61	0.0831643	0.304493	0.211898	6.66928	6.88619
